Certificat de Professionalitat;Descripció ;Hores;NivellEspecialitat;FamProfDescCat;Competències;Descripció de la competència;Durada 
AFDP0111;Abalisament de pistes, senyalització i socorrisme en espais esquiables;490,;2;ACTIVITATS FÍSIQUES I ESPORTIVES;UC1636_2;Rescatar accidentats en espais esquiables, en transports mecànics per cable i en allaus;120,
ARGI01;Manipulació i impressió de materials plàstics;275,;1;ARTS GRÀFIQUES;noUC_argi01;;9,
VICF0210;Operacions de fabricació de productes ceràmics conformats;480,;2;VIDRE I CERÀMICA;UC0660_2;Fabricar porcellana sanitària i articles ceràmics per a la llar, la decoració i aplicacions tècniques;120,
QUIM0309;Operacions de condicionament de productes farmacèutics i afins;480,;2;QUÍMICA;UC0323_2;Condicionar un lot de productes farmacèutics i afins;220,
EOCB0208;Operacions auxiliars de paleta d'obra de fàbrica i de cobertes;320,;1;EDIFICACIÓ I OBRA CIVIL;UC0276_1;Realitzar treballs auxiliars en obres de construcció;50,
HOTR0209;Sommelieria;730,;3;HOSTALERIA I TURISME;UC1106_3;Catar vins i altres begudes analcohòliques i alcohòliques diferents dels vins;270,
AGAJ0108;Activitats auxiliars en floristeria;390,;1;AGRÀRIA;UC1115_1;Atendre i prestar serveis al públic en floristeria;80,
IFCT0510;Gestió de sistemes informàtics;500,;3;INFORMÀTICA I COMUNICACIONS;noUC_MP0398;Mòdul de pràctiques professionals no laborals de 'Gestió de sistemes informàtics';80,
SEAG13;Canvi climàtic i empremta de carboni;80,;3;SEGURETAT I MEDI AMBIENT;noUC_seag13;;20,
EOCO0043;Nous models i estils en infraestructures de fusta;186,;2;EDIFICACIÓ I OBRA CIVIL;;;0,
ENAA0112;Gestió de l'ús eficient de l'aigua;760,;3;ENERGIA I AIGUA;UC2205_3;Realitzar diagnòstic i propostes d'optimització energètica en xarxes i instal·lacions d'aigua;120,
MAPN0212;Govern d'embarcacions i motos nàutiques destinades al socorrisme aquàtic;440,;2;MARÍTIM PESQUER;UC0269_2;Executar tècniques específiques de natació amb eficàcia i seguretat;120,
AGAO0308M;Jardineria i restauració del paisatge;620,;3;AGRÀRIA;UC0008_3;Gestionar i realitzar la conservació de parcs i jardins.;120,
IFCM0111;Manteniment de segon nivell en sistemes de radiocomunicacions;680,;3;INFORMÀTICA I COMUNICACIONS;UC1222_3;Coordinar la posada en servei de sistemes de radiocomunicacions de xarxes fixes i mòbils;180,
